Value,Quarter,Year,Age,Gender,Started,Profession,Grade,Company,City,Skill,Industry,SourceType,Created
2000000,3,2025,25,Male,2019,Backend Developer,Middle,Foreign,Almaty,Golang,Финтех,,2025-08-10 05:21:31
1100000,3,2025,22,Female,2022,Fullstack Developer,Middle,Local,Almaty,Java,E-Commerce,,2025-08-08 20:41:53
282000,3,2025,21,Male,2024,Операционный аналитик,Junior,Local,Astana,Python,Медицина,,2025-08-08 12:05:17
500000,3,2025,21,Male,2023,Backend Developer,Middle,Local,Astana,Golang,Продажи и маркетинг,,2025-08-08 11:17:57
900000,3,2025,24,Female,2021,Backend Developer,Senior,Local,Almaty,.NET,IT продукт,,2025-08-08 07:02:52
1450000,3,2025,26,Male,2020,Product Manager,Senior,Local,Almaty,,IT продукт,,2025-08-08 04:07:47
300000,3,2025,24,Male,2024,Backend Developer,Junior,Local,Almaty,Golang,IT аутсорс/аутстафф,,2025-08-07 16:49:13
1600000,3,2025,23,Male,2023,Frontend Developer,Middle,Local,Almaty,React,Финтех,,2025-08-07 16:36:18
1500000,3,2025,29,Male,2022,Backend Developer,Middle,Local,Almaty,Golang,Банк,,2025-08-07 16:34:52
900000,3,2025,24,Male,2022,Backend Developer,Middle,Local,Almaty,FastAPI,Финтех,,2025-08-07 13:14:21
2250000,2,2025,41,Male,2004,Head Of Department,Lead,Local,Almaty,PHP,E-Commerce,,2025-08-07 12:01:00
1500000,3,2025,28,Male,2019,Project Manager,Senior,Local,Almaty,Другое,Банк,,2025-08-06 12:04:45
100000,3,2025,22,Male,2025,Copywriter,Trainee,Local,Astana,,Финтех,,2025-08-06 12:03:49
250000,3,2025,21,Male,2025,Backend Developer,Junior,Local,Almaty,Python,IT аутсорс/аутстафф,,2025-08-06 11:39:19
1500000,3,2025,36,Male,2010,Chief Product Officer (CPO),Lead,Foreign,Almaty,,Финтех,,2025-08-06 11:37:29
250000,3,2025,20,Male,2025,Frontend Developer,Junior,Local,Karaganda,React,Финтех,,2025-08-06 09:14:46
250000,3,2025,21,Male,2024,Backend Developer,Junior,Local,Astana,Golang,Другое | Other,,2025-08-06 07:18:49
1500000,3,2025,28,Male,2016,Product Designer,Lead,Local,Almaty,,Банк,,2025-08-06 07:10:58
500000,3,2025,23,Female,2023,Системный аналитик | System Analyst,Middle,Local,Astana,Другое,Телеком,,2025-08-06 07:05:24
1100000,3,2025,30,Male,2014,Frontend Developer,Middle,Local,Astana,React,E-Commerce,,2025-08-06 06:20:13
100000,3,2025,20,Male,2024,Copywriter,Junior,Foreign,Aktau,.NET,Продажи и маркетинг,,2025-08-05 19:08:04
1200000,3,2025,24,Male,2021,Frontend Developer,Lead,Local,Almaty,Vue,IT продукт,,2025-08-05 13:49:21
1000000,3,2025,25,Male,2021,DevSecOps,Senior,Local,Almaty,,Телеком,,2025-08-05 13:23:04
590000,3,2025,30,Male,2022,Frontend Developer,Middle,Local,Almaty,Vue,E-Commerce,,2025-08-02 18:50:37
700000,3,2025,29,Male,2021,Frontend Developer,Middle,Local,Almaty,React,Финтех,,2025-08-02 12:43:25
1000000,3,2025,30,Male,2019,Backend Developer,Middle,Local,Astana,.NET,IT аутсорс/аутстафф,,2025-07-31 16:06:08
2500000,3,2025,30,Male,2020,Chief Product Officer (CPO),Lead,Local,Almaty,,IT продукт,,2025-07-31 06:12:39
2100000,3,2025,23,Male,2021,Frontend Developer,Senior,Foreign,Oral,Angular,Продажи и маркетинг,,2025-07-30 16:06:00
1200000,3,2025,23,Male,2021,Backend Developer,Senior,Local,Astana,Java,Другое | Other,,2025-07-30 06:42:43
1800000,4,2024,41,Female,2018,Business Analyst (BA),Lead,Local,Almaty,1C,Страхование (Insurance),,2025-07-29 16:02:32
600000,3,2025,38,Male,2024,Technical Support,Middle,Local,Atyrau,Другое,IT аутсорс/аутстафф,,2025-07-28 15:25:23
250000,2,2025,21,Male,2024,Дата аналитик | Data Analyst,Junior,Local,Astana,Python,Государственное учреждение (Government),,2025-07-27 11:45:25
1800000,1,2025,27,Male,2020,Backend Developer,Middle,Local,Almaty,Python,IT продукт,,2025-07-26 21:49:39
770000,3,2025,21,Male,2023,Backend Developer,Middle,Local,Almaty,Golang,Банк,,2025-07-25 06:28:15
800000,3,2025,21,Male,2024,Backend Developer,Middle,Local,Almaty,Spring,IT продукт,,2025-07-25 06:10:53
1250000,3,2025,21,Male,2022,Backend Developer,Middle,Foreign,Astana,PHP,Финтех,,2025-07-25 00:51:14
1000000,3,2025,36,Male,2022,Frontend Developer,Middle,Foreign,Oral,Angular,Страхование (Insurance),,2025-07-24 20:19:16
1400000,3,2025,22,Male,2022,Android Developer,Middle,Local,Almaty,Android,Банк,,2025-07-24 13:14:30
1200000,3,2025,37,Male,2008,Head Of Department,Senior,Local,Astana,,Строительная компания,,2025-07-24 05:16:46
1100000,3,2025,34,Male,2017,Product Manager,Middle,Local,Almaty,,СМИ (Средства массовой информации),,2025-07-24 04:12:32
710000,3,2025,23,Female,2023,Product Manager,Middle,Local,Almaty,,Банк,,2025-07-23 12:37:15
800000,3,2025,33,Male,2010,Customer Support,Middle,Local,Almaty,Другое,Телеком,,2025-07-23 08:32:31
1100000,2,2025,23,Male,2022,Flutter developer,Senior,Local,Almaty,Flutter,Финтех,,2025-07-23 07:31:34
400000,3,2025,23,Male,2023,Frontend Developer,Middle,Local,Astana,React,E-Commerce,,2025-07-23 05:58:14
3433188,3,2025,38,Male,2022,Product Manager,Senior,Foreign,Astana,.NET,IT аутсорс/аутстафф,,2025-07-22 10:47:05
1200000,3,2025,40,Female,2021,Frontend Developer,Middle,Local,Almaty,React,Телеком,,2025-07-20 12:22:41
2100000,3,2025,24,Male,2021,Android Developer,Lead,Local,Almaty,Kotlin,IT продукт,,2025-07-18 19:06:06
950000,3,2025,45,Male,2011,Техлид (Techleader),Lead,Local,Almaty,Другое,Телеком,,2025-07-18 16:45:28
250000,3,2025,22,Male,2025,Backend Developer,Junior,Local,Almaty,Golang,IT продукт,,2025-07-18 16:33:21
1000000,3,2025,39,Female,2007,Дата инженер | Data Engineer,Middle,Local,Almaty,Data Warehouse | DWH,Банк,,2025-07-18 16:23:59
1500000,3,2025,30,Female,2019,iOS Developer,Senior,Local,Astana,Swift,IT продукт,,2025-07-18 10:38:39
960000,3,2024,30,Female,2019,iOS Developer,Middle,Local,Astana,Swift,Государственное учреждение (Government),,2025-07-18 10:14:59
900000,3,2025,34,Male,2022,Frontend Developer,Middle,Local,Almaty,React,Телеком,,2025-07-18 06:49:06
1500000,3,2025,27,Male,2021,Android Developer,Senior,Local,,Java,Финтех,,2025-07-16 22:59:42
550000,2,2025,30,Male,2024,Backend Developer,Junior,Local,Semey,Golang,Стартап,,2025-07-16 13:07:26
1700000,3,2025,23,Male,2021,Product Designer,Senior,Local,Almaty,,IT продукт,,2025-07-16 09:36:39
1400000,3,2025,29,Female,2021,Product Designer,Senior,Local,Almaty,,Другое | Other,,2025-07-16 07:59:08
650000,3,2025,34,Female,2015,UI/UX Designer,Middle,Local,Almaty,,Телеком,,2025-07-16 06:50:05
1200000,3,2025,32,Male,2013,Product Designer,Senior,Local,Astana,,Телеком,,2025-07-16 06:47:07
1800000,3,2025,27,Male,2022,Тимлид | Teamleader,Lead,Local,Almaty,,Другое | Other,,2025-07-16 06:23:59
800000,3,2025,27,Male,2022,Product Designer,Middle,Local,Almaty,,Телеком,,2025-07-16 06:22:34
2200000,3,2025,32,Male,2012,Product Designer,Senior,Foreign,Almaty,,IT продукт,,2025-07-16 06:21:35
2000000,3,2025,29,Male,2019,Product Manager,Lead,Local,Almaty,,IT продукт,,2025-07-16 06:06:42
526000,3,2025,19,Male,2025,Frontend Developer,Middle,Foreign,Astana,React,E-Commerce,,2025-07-15 13:37:35
1500000,3,2025,30,PreferNotToSay,2015,Системный аналитик | System Analyst,Middle,Local,Almaty,,Банк,,2025-07-15 09:44:31
2658000,3,2025,25,Male,2014,BI Developer,Lead,Foreign,,Python,IT продукт,,2025-07-14 19:23:29
2356000,3,2025,33,PreferNotToSay,2014,Дата инженер | Data Engineer,Lead,Foreign,,Python,IT продукт,,2025-07-14 18:44:09
300000,3,2025,22,Female,2024,Backend Developer,Junior,Local,Almaty,Laravel,IT аутсорс/аутстафф,,2025-07-12 16:22:09
1200000,3,2025,27,Male,2021,Android Developer,Middle,Local,Almaty,Kotlin,Телеком,,2025-07-12 05:35:14
900000,3,2025,19,Male,2023,Backend Developer,Middle,Foreign,Astana,Laravel,IT продукт,,2025-07-11 20:57:52
830000,1,2025,29,Female,2018,Head Of Department,Senior,Local,Astana,,Статистика,,2025-07-11 14:29:40
1200000,3,2025,31,Male,2024,Product Manager,Senior,Local,Almaty,Java,HR системы,,2025-07-10 10:42:02
2900000,2,2025,33,Male,2013,Chief Product Officer (CPO),Lead,Local,Almaty,,Другое | Other,,2025-07-09 13:30:34
800000,3,2025,23,Male,2024,Machine Learning Developer | ML разработчик,Middle,Local,Astana,Python,IT продукт,,2025-07-09 13:10:43
700000,3,2025,28,Male,2022,Frontend Developer,Middle,Local,Almaty,React,Банк,,2025-07-09 11:34:09
1800000,3,2025,34,Male,2016,Product Manager,Senior,Local,Almaty,Другое,Финтех,,2025-07-09 06:06:14
700000,3,2025,42,Female,2005,IT Recruiter | Рекрутер,Lead,Local,Almaty,Другое,HR системы,,2025-07-09 03:03:49
900000,3,2025,30,Male,2016,Backend Developer,Middle,Local,Astana,PHP,IT продукт,,2025-07-08 08:05:18
900000,3,2025,30,Male,2022,Project Manager,Middle,Local,Astana,Angular,Телеком,,2025-07-08 05:07:27
1450000,3,2025,27,Male,2018,Android Developer,Senior,Local,Almaty,Android,Телеком,,2025-07-07 18:20:20
2000000,1,2025,28,Male,2018,iOS Developer,Senior,Foreign,Almaty,Swift,Стартап,,2025-07-07 12:53:21
350000,3,2025,21,Male,2024,Backend Developer,Junior,Local,Astana,Python,IT продукт,,2025-07-07 10:46:22
1430000,3,2025,23,Male,2024,Android Developer,Junior,Foreign,Almaty,Kotlin,Другое | Other,,2025-07-06 17:59:23
880000,1,2025,29,Male,2019,System Administrator,Senior,Local,Astana,,Банк,,2025-07-04 17:34:07
1800000,3,2025,29,Male,2017,Frontend Developer,Senior,Local,Astana,React,IT продукт,,2025-07-04 06:34:07
2000000,3,2025,30,PreferNotToSay,2018,Computer vision engineer,Senior,Foreign,Almaty,Python,IT продукт,,2025-07-03 10:50:23
500000,3,2025,30,Male,2020,Fullstack Developer,Middle,Local,Almaty,Javascript,Банк,,2025-07-03 10:21:58
1200000,3,2025,33,Male,2018,DevOps,Senior,Local,Almaty,Python,Банк,,2025-07-03 09:44:43
3000000,3,2025,33,Male,2013,Backend Developer,Senior,Foreign,Almaty,Java,E-Commerce,,2025-07-03 09:32:04
850000,3,2025,22,Male,2024,Дата инженер | Data Engineer,Middle,Local,Almaty,Python,Банк,,2025-07-03 08:58:46
700000,3,2025,23,Male,2024,Frontend Developer,Junior,Local,Almaty,Angular,Телеком,,2025-07-03 08:54:25
500000,3,2025,26,Female,2023,Frontend Developer,Middle,Local,Almaty,React,IT продукт,,2025-07-03 08:45:07
780000,3,2025,22,Male,2022,DevOps,Junior,Local,Almaty,Другое,Образование (Education),,2025-07-03 08:10:47
1200000,3,2025,23,Male,2023,Backend Developer,Middle,Local,Almaty,Golang,Банк,,2025-07-03 07:24:16
450000,3,2025,24,Male,2024,Fullstack Developer,Junior,Local,Almaty,Node.js,Другое | Other,,2025-07-02 23:29:58
300000,2,2025,35,Male,2025,Fullstack Developer,Junior,Local,Almaty,Django,IT продукт,,2025-07-02 23:04:47
350000,1,2025,18,Female,,Дата аналитик | Data Analyst,Trainee,Local,Aktobe,Python,Образование (Education),,2025-07-02 21:17:37
500000,3,2025,21,Male,2024,Fullstack Developer,Junior,Local,Almaty,React,Образование (Education),,2025-07-02 20:49:31
1500000,3,2025,25,Male,2021,iOS Developer,Senior,Local,Almaty,Swift,Телеком,,2025-07-02 20:09:58
800000,3,2025,35,Male,2023,Тестировщик (Tester),Middle,Local,Almaty,,Финтех,,2025-07-02 17:53:58
1600000,3,2025,31,Female,2016,Frontend Developer,Senior,Local,Almaty,React,Финтех,,2025-07-02 17:33:33
750000,2,2025,27,Male,2020,Backend Developer,Middle,Local,Astana,Node.js,IT аутсорс/аутстафф,,2025-07-02 16:24:15
734000,2,2025,21,Male,2023,iOS Developer,Middle,Local,Almaty,Swift,Банк,,2025-07-02 15:06:24
1400000,3,2025,31,Male,2018,Backend Developer,Senior,Local,Astana,Java,Телеком,,2025-07-02 14:17:36
400000,3,2025,22,Male,2024,Quality Assurance (QA),Lead,Local,Almaty,Pytest,IT продукт,,2025-07-02 13:37:23
600000,2,2025,23,Female,2022,Дата аналитик | Data Analyst,Middle,Local,Astana,Python,IT аутсорс/аутстафф,,2025-07-02 11:53:12
1146000,3,2025,37,Female,2010,Backend Developer,Middle,Foreign,Astana,Java,Финтех,,2025-07-02 10:39:43
300000,3,2025,22,Male,2025,Информационная безопасность,Junior,Local,Almaty,,IT консалтинг,,2025-07-02 10:17:03
1300000,3,2025,25,Male,2021,Quality Assurance (QA),Middle,Local,Almaty,Pytest,IT продукт,,2025-07-02 10:12:04
500000,3,2025,21,Male,2024,Дата инженер | Data Engineer,Middle,Local,Almaty,Python,Телеком,,2025-07-02 09:50:23
1800000,3,2025,25,Male,2021,Тимлид | Teamleader,Lead,Local,Astana,Java,Финтех,,2025-07-02 09:48:24
800000,3,2025,34,Male,2024,Product Owner,Senior,Local,Astana,,Saas Компания (Услуги SaaS),,2025-07-02 09:38:14
1100000,3,2025,26,Male,2022,Frontend Developer,Middle,Foreign,Almaty,React,Saas Компания (Услуги SaaS),,2025-07-02 09:23:17
1900000,3,2025,31,Male,2016,Backend Developer,Senior,Local,Almaty,Python,IT аутсорс/аутстафф,,2025-07-02 09:11:51
800000,3,2025,23,Male,2022,Product Designer,Middle,Local,Almaty,,IT продукт,,2025-07-02 09:03:36
770000,3,2025,26,Male,2020,Fullstack Developer,Middle,Local,Almaty,Python,Банк,,2025-07-02 08:53:14
1000000,3,2025,25,Male,2021,Backend Developer,Middle,Local,Almaty,Python,Туризм,,2025-07-02 08:53:01
1000000,3,2025,25,Female,2022,Дата аналитик | Data Analyst,Junior,Local,Almaty,Другое,Банк,,2025-07-02 08:30:29
1200000,3,2025,24,Male,2022,1C Developer (1С разработчик),Middle,Local,Almaty,1C,Другое | Other,,2025-07-02 08:12:44
1250000,3,2025,30,Male,2020,Backend Developer,Middle,Local,Almaty,Python,Торговля (FMCG, Retail),,2025-07-02 06:42:51
2000000,3,2025,39,Male,2008,Head Of Department,Lead,Local,Astana,,Финтех,,2025-07-02 06:05:22
1400000,2,2025,39,Male,2008,Head Of Department,Lead,Local,Astana,,IT продукт,,2025-07-02 06:03:46
400000,1,2025,22,Male,2024,Android Developer,Junior,Local,Almaty,Android,IT продукт,,2025-07-02 04:33:51
400000,3,2025,20,Male,2024,Android Developer,Junior,Local,Almaty,Kotlin,IT продукт,,2025-07-01 19:27:04
1300000,3,2025,28,Male,2022,Frontend Developer,Senior,Local,Astana,React,IT продукт,,2025-07-01 19:24:44
1200000,3,2025,27,Male,2022,Android Developer,Senior,Local,Astana,Kotlin,Банк,,2025-07-01 16:25:24
1100000,3,2025,25,Male,2020,Android Developer,Middle,Local,Almaty,Kotlin,Другое | Other,,2025-07-01 12:37:31
1200000,3,2025,34,Male,2010,Head Of Department,Lead,Local,Astana,,Web-студия,,2025-07-01 12:23:13
1677000,3,2025,25,Female,2020,Android Developer,Middle,Local,Almaty,Android,Другое | Other,,2025-07-01 12:22:01
1400000,3,2025,22,Male,2022,Android Developer,Middle,Local,Almaty,Android,Финтех,,2025-07-01 12:18:56
900000,2,2025,31,Male,2022,Android Developer,Middle,Local,Almaty,Kotlin,Банк,,2025-07-01 12:17:47
2300000,3,2025,26,Male,2018,Android Developer,Senior,Local,Almaty,Android,IT продукт,,2025-07-01 12:16:27
900000,3,2025,22,Male,2023,Backend Developer,Middle,Local,Almaty,Java,Финтех,,2025-06-29 17:43:24
750000,2,2025,25,Female,2024,IT Recruiter | Рекрутер,Middle,Local,Almaty,,Другое | Other,,2025-06-29 03:49:25
3000000,2,2025,28,Male,2016,Frontend Developer,Lead,Foreign,Almaty,React,IT аутсорс/аутстафф,,2025-06-28 21:41:13
1200000,3,2025,28,Female,2019,Скрам-мастер (Scrum Master),Lead,Local,Astana,,IT продукт,,2025-06-26 14:06:36
1950000,1,2025,37,Female,2007,Backend Developer,Lead,Foreign,Almaty,.NET,IT аутсорс/аутстафф,,2025-06-26 12:57:47
1000000,2,2025,23,Male,2021,Backend Developer,Middle,Local,Almaty,Java,Банк,,2025-06-26 12:54:56
1316000,1,2025,23,Male,2021,Frontend Developer,Middle,Foreign,,Angular,Банк,,2025-06-26 09:49:33
100000,2,2025,18,Male,2022,Copywriter,Trainee,Local,Aktobe,Angular,Телеком,,2025-06-25 19:34:41
100000,2,2025,21,Male,2023,Frontend Developer,Middle,Local,Almaty,Vue,Стартап,,2025-06-25 12:41:39
2333301,2,2025,32,Male,2017,Frontend Developer,Senior,Local,Almaty,React,Образование (Education),,2025-06-25 11:55:58
400000,2,2025,20,Male,2024,Quality Assurance (QA),Junior,Local,Almaty,Java,IT аутсорс/аутстафф,,2025-06-25 09:55:36
1200000,2,2025,26,Male,2022,Data Scientist,Senior,Local,Almaty,Python,Банк,,2025-06-25 08:42:20
1000000,2,2025,33,Male,2022,Тестировщик (Tester),Middle,Local,Almaty,Python,Банк,,2025-06-25 06:35:27
250000,2,2025,24,Male,2025,Frontend Developer,Junior,Local,Almaty,Vue,IT продукт,,2025-06-24 16:45:01
300000,2,2025,20,Male,2024,Backend Developer,Junior,Local,Astana,.NET,Другое | Other,,2025-06-24 16:42:39
2500000,1,2025,24,Male,2020,Chief Technical Officer (CTO),Senior,Local,Almaty,Typescript,Медицина,,2025-06-24 10:25:45
400000,2,2025,30,Male,2023,DevOps,Junior,Local,Astana,,Образование (Education),,2025-06-23 13:36:56
1200000,2,2025,23,Male,2022,Backend Developer,Middle,Local,Almaty,Java,Финтех,,2025-06-23 05:23:20
1100000,2,2025,23,Male,2021,Backend Developer,Middle,Local,Almaty,Python,IT продукт,,2025-06-22 21:05:42
1200000,1,2025,25,Male,2019,Backend Developer,Middle,Local,Almaty,.NET,Финтех,,2025-06-22 18:38:42
305733,2,2025,24,Male,2025,Тестировщик (Tester),Junior,Local,Almaty,Другое,Банк,,2025-06-22 12:06:07
2400000,2,2025,26,Male,2023,Backend Developer,Middle,Foreign,Almaty,Golang,Продажи и маркетинг,,2025-06-22 06:33:24
2600000,2,2025,28,Male,2017,AI Engineer,Senior,Foreign,Almaty,Python,IT аутсорс/аутстафф,,2025-06-21 06:37:46
1000000,2,2025,26,Male,2022,Backend Developer,Middle,Local,Astana,Golang,Государственное учреждение (Government),,2025-06-21 06:22:35
756000,2,2025,21,Male,2023,Backend Developer,Junior,Local,Astana,Golang,Торговля (FMCG, Retail),,2025-06-21 05:49:19
750000,2,2025,34,Male,2023,Backend Developer,Middle,Local,Astana,Golang,IT продукт,,2025-06-20 19:33:16
1500000,2,2025,30,Male,2018,Chief Technical Officer (CTO),Lead,Local,Almaty,Laravel,Продажи и маркетинг,,2025-06-20 11:47:26
1340000,1,2025,33,Male,2020,DevOps,Middle,Local,Almaty,Python,Банк,,2025-06-20 05:02:02
2600000,2,2025,35,Male,2010,Архитектор (Architect),Lead,Foreign,Almaty,Java,IT аутсорс/аутстафф,,2025-06-20 02:48:03
3000000,2,2025,30,Male,2017,Chief Executive Officer (CEO),Lead,Local,Astana,,IT продукт,,2025-06-19 12:59:03
550000,2,2025,20,Male,2022,Fullstack Developer,Middle,Local,Astana,Vue,Финтех,,2025-06-19 12:48:07
240000,2,2025,20,Male,2024,Дата инженер | Data Engineer,Junior,Local,Astana,Python,Банк,,2025-06-19 12:41:15
1650000,2,2025,23,Male,2021,DevOps,Senior,Local,Astana,.NET,Банк,,2025-06-19 09:01:02
1060093,2,2025,24,Male,2023,Дата аналитик | Data Analyst,Lead,Foreign,,Python,Образование (Education),,2025-06-19 07:53:20
1500000,2,2025,32,Male,2022,Project Manager,Senior,Local,Astana,.NET,Строительная компания,,2025-06-19 06:22:46
430000,2,2025,22,Male,2023,Frontend Developer,Middle,Local,Astana,React,Государственное учреждение (Government),,2025-06-19 06:12:48
1200000,2,2025,22,Male,2021,Backend Developer,Middle,Local,Astana,Java,Финтех,,2025-06-19 06:06:30
1100000,1,2025,27,Male,2015,Android Developer,Senior,Local,Astana,Android,Стартап,,2025-06-18 10:23:08
616000,2,2025,26,Male,2022,Project Manager,Middle,Local,Astana,,Медицина,,2025-06-18 09:40:20
2146000,2,2025,27,Female,2017,Тимлид | Teamleader,Lead,Local,Almaty,Javascript,Продажи и маркетинг,,2025-06-18 08:38:55
3500000,1,2025,40,Male,2007,Backend Developer,Senior,Foreign,,Golang,E-Commerce,,2025-06-18 08:28:54
3299000,2,2025,30,Male,2019,Backend Developer,Senior,Foreign,Almaty,Golang,E-Commerce,,2025-06-18 08:17:13
1800000,2,2025,25,Male,2020,Frontend Developer,Middle,Foreign,Astana,React,Финтех,,2025-06-18 08:15:59
400000,2,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,Laravel,Страхование (Insurance),,2025-06-18 06:30:33
700000,2,2025,24,Male,2020,Android Developer,Middle,Local,Almaty,Android,Телеком,,2025-06-18 06:22:48
2665000,2,2025,31,Male,2015,Backend Developer,Senior,Foreign,Almaty,.NET,Продажи и маркетинг,,2025-06-17 08:06:03
150000,2,2025,19,Male,2025,Data Scientist,Trainee,Local,Astana,Machine Learning | ML,Банк,,2025-06-17 07:03:58
900000,2,2025,28,Male,2023,Project Manager,Middle,Local,Almaty,Python,Банк,,2025-06-17 06:39:10
600000,1,2025,28,Male,2023,Дата аналитик | Data Analyst,Middle,Local,Almaty,Python,Банк,,2025-06-17 06:32:50
400000,2,2025,30,Male,2025,Backend Developer,Junior,Local,Almaty,Python,Другое | Other,,2025-06-17 06:04:43
490000,2,2025,39,Female,2023,Тестировщик (Tester),Junior,Local,Almaty,,Банк,,2025-06-16 13:18:05
300000,2,2025,24,Female,2024,Frontend Developer,Junior,Local,Almaty,Javascript,IT продукт,,2025-06-16 12:42:31
650000,2,2025,24,Male,2023,UI/UX Designer,Middle,Local,Almaty,,Стартап,,2025-06-16 11:54:18
